mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_max_leaf_nodes,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.04985866546630859,0.005953797647126463,0.011369991302490234,0.002238774199964183,6,log2,6,25,"{'max_depth': 6, 'max_features': 'log2', 'max_leaf_nodes': 6, 'n_estimators': 25}",0.5,0.4444444444444444,0.16666666666666666,0.5294117647058824,0.6470588235294118,0.45751633986928103,0.1597902208864198,108
0.09056315422058106,0.0037578388423347452,0.02093162536621094,0.0018968174931454462,6,log2,6,50,"{'max_depth': 6, 'max_features': 'log2', 'max_leaf_nodes': 6, 'n_estimators': 50}",0.5555555555555556,0.5,0.4444444444444444,0.5294117647058824,0.7058823529411765,0.5470588235294118,0.08758169934640525,12
0.24295525550842284,0.07038399193115943,0.048271465301513675,0.013419053964734213,6,log2,6,100,"{'max_depth': 6, 'max_features': 'log2', 'max_leaf_nodes': 6, 'n_estimators': 100}",0.6111111111111112,0.5,0.4444444444444444,0.5882352941176471,0.6470588235294118,0.5581699346405229,0.07473306763528573,6
0.295197057723999,0.09851906890294815,0.06442642211914062,0.03462193202984852,6,log2,6,150,"{'max_depth': 6, 'max_features': 'log2', 'max_leaf_nodes': 6, 'n_estimators': 150}",0.5,0.5,0.3888888888888889,0.47058823529411764,0.7058823529411765,0.5130718954248367,0.10463641996749097,75
0.03869938850402832,0.0019327648009576726,0.00977339744567871,0.00039847642845019187,6,log2,9,25,"{'max_depth': 6, 'max_features': 'log2', 'max_leaf_nodes': 9, 'n_estimators': 25}",0.4444444444444444,0.5,0.4444444444444444,0.47058823529411764,0.5882352941176471,0.48954248366013076,0.05343512009403843,102
0.13144235610961913,0.03416807454750115,0.034824800491333005,0.010938082746895816,6,log2,9,50,"{'max_depth': 6, 'max_features': 'log2', 'max_leaf_nodes': 9, 'n_estimators': 50}",0.5,0.5555555555555556,0.3333333333333333,0.47058823529411764,0.7058823529411765,0.5130718954248367,0.12104744560426234,75
0.2307680606842041,0.0730324019213539,0.04729456901550293,0.01539151618334458,6,log2,9,100,"{'max_depth': 6, 'max_features': 'log2', 'max_leaf_nodes': 9, 'n_estimators': 100}",0.5,0.5555555555555556,0.3888888888888889,0.4117647058823529,0.6470588235294118,0.5006535947712418,0.09470134903019016,96
0.3311147689819336,0.11306526613580117,0.06462092399597168,0.023802408746908067,6,log2,9,150,"{'max_depth': 6, 'max_features': 'log2', 'max_leaf_nodes': 9, 'n_estimators': 150}",0.5,0.5,0.3888888888888889,0.47058823529411764,0.6470588235294118,0.5013071895424837,0.083460750980104,92
0.08597073554992676,0.007875651174096523,0.02074322700500488,0.004763966439119771,6,,3,25,"{'max_depth': 6, 'max_features': None, 'max_leaf_nodes': 3, 'n_estimators': 25}",0.5555555555555556,0.5,0.5,0.35294117647058826,0.7058823529411765,0.5228758169934641,0.11356385478482488,69
0.07320156097412109,0.0016305476891581164,0.01696486473083496,0.0010961688578066473,6,,3,50,"{'max_depth': 6, 'max_features': None, 'max_leaf_nodes': 3, 'n_estimators': 50}",0.6111111111111112,0.5,0.4444444444444444,0.5294117647058824,0.6470588235294118,0.54640522875817,0.0736969768252546,16
0.146812105178833,0.00283711484863782,0.030905485153198242,0.0012723385767070355,6,,3,100,"{'max_depth': 6, 'max_features': None, 'max_leaf_nodes': 3, 'n_estimators': 100}",0.5555555555555556,0.5,0.5555555555555556,0.47058823529411764,0.7058823529411765,0.5575163398692811,0.08109844376076394,8
